Open,High,Low,Close,Adj Close,Volume,class
26969.50390625,28440.560546875,26907.716796875,28038.67578125,28038.67578125,37769448859,1
28041.6015625,28527.724609375,27242.880859375,27767.236328125,27767.236328125,44774027664,0
27768.392578125,28439.5625,27439.646484375,28175.81640625,28175.81640625,36102192830,1
28158.720703125,28803.3359375,26759.99609375,27307.4375,27307.4375,33382021890,0
27301.95703125,28729.84375,27183.36328125,28333.97265625,28333.97265625,24220433689,1
28324.111328125,28388.4375,27039.265625,27493.28515625,27493.28515625,25980310960,0
27487.337890625,27791.826171875,27196.234375,27494.70703125,27494.70703125,13383005987,1
27495.5234375,28178.14453125,27445.046875,27994.330078125,27994.330078125,13878363192,2
27994.068359375,28037.92578125,26606.689453125,27139.888671875,27139.888671875,18188895178,0
27132.888671875,27460.71875,26677.818359375,27268.130859375,27268.130859375,17783600385,2
27267.03125,28619.54296875,27259.662109375,28348.44140625,28348.44140625,20684945906,2
28350.140625,29159.90234375,27720.16015625,28033.5625,28033.5625,22435349951,2
