Open,High,Low,Close,Adj Close,Volume,class
16547.9140625,16630.439453125,16521.234375,16625.080078125,16625.080078125,9244361700,2
16625.509765625,16759.34375,16572.228515625,16688.470703125,16688.470703125,12097775227,2
16688.84765625,16760.447265625,16622.37109375,16679.857421875,16679.857421875,13903079207,2
16680.205078125,16964.5859375,16667.763671875,16863.23828125,16863.23828125,18421743322,1
16863.47265625,16884.021484375,16790.283203125,16836.736328125,16836.736328125,13692758566,0
16836.47265625,16991.994140625,16716.421875,16951.96875,16951.96875,14413662913,1
16952.1171875,16975.017578125,16914.19140625,16955.078125,16955.078125,7714767174,2
16954.146484375,17091.14453125,16924.05078125,17091.14453125,17091.14453125,9768827914,2
17093.9921875,17389.95703125,17093.9921875,17196.5546875,17196.5546875,18624736866,2
17192.94921875,17484.720703125,17162.990234375,17446.29296875,17446.29296875,15808338949,2
17446.359375,17934.896484375,17337.994140625,17934.896484375,17934.896484375,18372283782,2
18117.59375,19030.087890625,17995.203125,18869.587890625,18869.587890625,34971338710,2
18868.90625,19964.322265625,18753.1640625,19909.57421875,19909.57421875,29225029694,2
19910.537109375,21075.142578125,19907.828125,20976.298828125,20976.298828125,38967784639,2
20977.484375,20993.748046875,20606.986328125,20880.798828125,20880.798828125,19298407543,0
20882.224609375,21360.875,20715.74609375,21169.6328125,21169.6328125,26792494050,1
21175.833984375,21438.66015625,20978.533203125,21161.51953125,21161.51953125,24999983362,0
21161.05078125,21564.501953125,20541.544921875,20688.78125,20688.78125,30005625418,2
20686.74609375,21163.01171875,20685.380859375,21086.79296875,21086.79296875,21152848261,1
21085.373046875,22692.357421875,20919.126953125,22676.552734375,22676.552734375,28799154319,2
22677.427734375,23282.34765625,22511.833984375,22777.625,22777.625,32442278429,2
22777.986328125,23056.73046875,22387.900390625,22720.416015625,22720.416015625,24746386230,0
22721.087890625,23126.486328125,22654.3046875,22934.431640625,22934.431640625,26518700512,1
22929.626953125,23134.01171875,22549.744140625,22636.46875,22636.46875,26405069715,0
22639.267578125,23722.099609375,22406.076171875,23117.859375,23117.859375,30685366709,1
23108.955078125,23237.078125,22911.373046875,23032.77734375,23032.77734375,26357839322,0
23030.716796875,23417.720703125,22654.59375,23078.728515625,23078.728515625,25383335641,1
23079.96484375,23165.896484375,22908.845703125,23031.08984375,23031.08984375,14712928379,0
23031.44921875,23919.890625,22985.0703125,23774.56640625,23774.56640625,27423687259,1
23774.6484375,23789.34765625,22657.58203125,22840.138671875,22840.138671875,27205595568,0
22840.796875,23225.021484375,22765.568359375,23139.283203125,23139.283203125,22837828665,1
23137.8359375,23764.5390625,22877.75,23723.76953125,23723.76953125,26683255504,2
23720.82421875,24167.2109375,23468.595703125,23471.87109375,23471.87109375,32066936882,0
23469.412109375,23678.103515625,23279.955078125,23449.322265625,23449.322265625,27083066007,2
23446.3203125,23556.94921875,23291.794921875,23331.84765625,23331.84765625,15639298538,2
23332.248046875,23423.435546875,22841.759765625,22955.666015625,22955.666015625,19564262605,2
22954.021484375,23119.279296875,22692.025390625,22760.109375,22760.109375,23825006542,2
22757.267578125,23310.974609375,22756.2578125,23264.291015625,23264.291015625,27187964471,1
23263.416015625,23367.958984375,22731.09765625,22939.3984375,22939.3984375,25371367758,0
22946.56640625,22996.4375,21773.974609375,21819.0390625,21819.0390625,32572572185,2
21819.005859375,21941.185546875,21539.392578125,21651.18359375,21651.18359375,27078406594,2
21651.841796875,21891.41015625,21618.44921875,21870.875,21870.875,16356226232,1
21870.90234375,22060.994140625,21682.828125,21788.203125,21788.203125,17821046406,0
21787.0,21898.4140625,21460.087890625,21808.1015625,21808.1015625,23918742607,1
21801.822265625,22293.140625,21632.39453125,22220.8046875,22220.8046875,26792596581,2
22220.5859375,24307.841796875,22082.76953125,24307.841796875,24307.841796875,32483312909,2
24307.349609375,25134.1171875,23602.5234375,23623.474609375,23623.474609375,39316664596,0
23621.283203125,24924.041015625,23460.755859375,24565.6015625,24565.6015625,41358451255,1
24565.296875,24798.8359375,24468.373046875,24641.27734375,24641.27734375,19625427158,2
24640.02734375,25093.0546875,24327.642578125,24327.642578125,24327.642578125,25555105670,0
24336.623046875,25020.458984375,23927.91015625,24829.1484375,24829.1484375,28987376573,1
24833.048828125,25126.8515625,24200.36328125,24436.353515625,24436.353515625,31252098714,0
24437.41796875,24472.33984375,23644.318359375,24188.84375,24188.84375,30199996781,2
24190.71875,24572.08984375,23693.919921875,23947.4921875,23947.4921875,30476264066,2
23946.0078125,24103.705078125,23007.072265625,23198.126953125,23198.126953125,26811744928,2
23200.125,23210.2109375,22861.55859375,23175.375,23175.375,16100721565,2
23174.150390625,23654.3671875,23084.220703125,23561.212890625,23561.212890625,16644534842,1
23561.451171875,23857.890625,23205.87890625,23522.87109375,23522.87109375,22660763494,0
23521.837890625,23585.384765625,23077.650390625,23147.353515625,23147.353515625,20535363434,2
23150.9296875,23880.6328125,23088.626953125,23646.55078125,23646.55078125,24662841200,1
23647.01953125,23739.138671875,23245.021484375,23475.466796875,23475.466796875,20386398516,0
23476.6328125,23479.34765625,22213.23828125,22362.6796875,22362.6796875,26062404610,2
22362.923828125,22405.177734375,22198.98046875,22353.349609375,22353.349609375,11166012913,2
22354.14453125,22613.685546875,22307.142578125,22435.513671875,22435.513671875,13317001733,1
22436.81640625,22584.29296875,22331.314453125,22429.7578125,22429.7578125,17353192895,0
22428.322265625,22527.41796875,22011.26171875,22219.76953125,22219.76953125,22765452204,2
22216.44140625,22268.896484375,21708.05078125,21718.080078125,21718.080078125,22536575684,2
