Datetime,Open,High,Low,Close,Adj Close,Volume,class
2023-01-01 00:00:00+00:00,16547.9140625,16553.69921875,16529.07421875,16539.396484375,16539.396484375,0,0
2023-01-01 01:00:00+00:00,16538.013671875,16556.140625,16536.416015625,16556.140625,16556.140625,0,0
2023-01-01 02:00:00+00:00,16556.494140625,16564.591796875,16549.50390625,16557.580078125,16557.580078125,0,0
2023-01-01 03:00:00+00:00,16557.521484375,16557.912109375,16540.302734375,16548.86328125,16548.86328125,0,0
2023-01-01 04:00:00+00:00,16546.4296875,16548.51171875,16528.251953125,16530.708984375,16530.708984375,16758784,0
2023-01-01 05:00:00+00:00,16530.771484375,16536.328125,16525.9140625,16536.328125,16536.328125,0,0
2023-01-01 06:00:00+00:00,16536.59375,16554.11328125,16536.59375,16548.146484375,16548.146484375,0,0
2023-01-01 07:00:00+00:00,16548.072265625,16552.021484375,16525.9453125,16536.4765625,16536.4765625,47280128,0
2023-01-01 08:00:00+00:00,16536.546875,16538.916015625,16523.783203125,16524.33203125,16524.33203125,0,1
2023-01-01 09:00:00+00:00,16523.822265625,16541.65234375,16521.234375,16541.65234375,16541.65234375,0,0
2023-01-01 10:00:00+00:00,16542.40625,16548.052734375,16541.396484375,16546.94921875,16546.94921875,0,0
2023-01-01 11:00:00+00:00,16548.33203125,16557.404296875,16548.33203125,16556.072265625,16556.072265625,0,0
2023-01-01 12:00:00+00:00,16556.236328125,16568.505859375,16556.236328125,16564.890625,16564.890625,0,-1
2023-01-01 13:00:00+00:00,16565.30859375,16567.5859375,16550.87109375,16552.162109375,16552.162109375,0,1
2023-01-01 14:00:00+00:00,16553.0,16565.90625,16553.0,16556.134765625,16556.134765625,0,0
2023-01-01 15:00:00+00:00,16556.44140625,16559.427734375,16552.751953125,16559.427734375,16559.427734375,0,0
2023-01-01 16:00:00+00:00,16559.70703125,16579.337890625,16559.70703125,16572.501953125,16572.501953125,8666112,0
2023-01-01 17:00:00+00:00,16572.17578125,16593.46484375,16571.31640625,16586.349609375,16586.349609375,0,0
2023-01-01 18:00:00+00:00,16585.765625,16603.79296875,16584.427734375,16595.83984375,16595.83984375,39303168,0
2023-01-01 19:00:00+00:00,16596.072265625,16622.14453125,16596.072265625,16607.916015625,16607.916015625,29542400,0
2023-01-01 20:00:00+00:00,16608.708984375,16626.90625,16608.447265625,16613.94921875,16613.94921875,89082880,0
2023-01-01 21:00:00+00:00,16614.111328125,16617.142578125,16606.0390625,16617.142578125,16617.142578125,0,-1
2023-01-01 22:00:00+00:00,16617.212890625,16617.212890625,16604.0,16613.220703125,16613.220703125,0,0
2023-01-01 23:00:00+00:00,16612.919921875,16630.439453125,16612.919921875,16625.515625,16625.515625,0,0
2023-01-02 00:00:00+00:00,16625.509765625,16634.52734375,16601.185546875,16604.12890625,16604.12890625,0,0
2023-01-02 01:00:00+00:00,16603.552734375,16603.552734375,16572.228515625,16585.587890625,16585.587890625,186740736,1
2023-01-02 02:00:00+00:00,16585.337890625,16602.75390625,16576.390625,16602.296875,16602.296875,0,0
2023-01-02 03:00:00+00:00,16601.724609375,16677.0625,16596.572265625,16675.173828125,16675.173828125,237762560,-1
2023-01-02 04:00:00+00:00,16673.560546875,16673.560546875,16644.28125,16647.150390625,16647.150390625,113892352,0
2023-01-02 05:00:00+00:00,16646.736328125,16658.5390625,16635.173828125,16654.7890625,16654.7890625,94795776,0
