time,open,high,low,close,volume,turnover,date,class,norm_revenue
2023-01-01 08:00:00,16525.2,16532.82,16508.5,16513.86,56.835204,938823.5290041,2023-01-01,1,0.0
2023-01-01 09:00:00,16513.86,16541.26,16505.69,16537.52,46.099953,761685.22008538,2023-01-01,0,-0.6296900489397376
2023-01-01 10:00:00,16537.52,16550.9,16532.48,16550.5,57.431614,950041.97366687,2023-01-01,0,0.23974590811898563
2023-01-01 11:00:00,16550.5,16556.99,16541.61,16556.11,33.875597,560658.78195691,2023-01-01,0,0.6155190760003494
2023-01-01 12:00:00,16556.11,16572.7,16551.51,16561.85,57.047831,944799.7203744,2023-01-01,-1,1.0
2023-01-01 13:00:00,16561.85,16568.21,16539.45,16547.93,55.428851,917533.19058639,2023-01-01,0,0.06760026793094709
2023-01-01 14:00:00,16547.93,16557.51,16538.96,16541.28,97.906114,1620328.53514881,2023-01-01,1,0.0
2023-01-01 15:00:00,16541.28,16559.13,16532.01,16557.31,38.990104,645049.40371713,2023-01-01,0,-0.5876551243317291
2023-01-01 16:00:00,16557.31,16581.22,16555.07,16564.06,77.85277,1289931.92242042,2023-01-01,0,-0.3554915175457845
2023-01-01 17:00:00,16564.06,16595.53,16562.47,16580.4,119.002004,1973300.3248889,2023-01-01,0,0.20651638391827032
2023-01-01 18:00:00,16580.4,16603.18,16580.27,16590.41,94.496853,1568134.14628813,2023-01-01,0,0.5508064141296677
2023-01-01 19:00:00,16590.41,16623.32,16590.41,16603.47,81.312041,1350388.46078431,2023-01-01,-1,1.0
2023-01-01 20:00:00,16603.47,16626.55,16599.35,16601.82,55.706021,925394.32653461,2023-01-01,0,0.9432488961189412
2023-01-01 21:00:00,16601.82,16608.37,16592.18,16607.6,40.400861,670690.72543541,2023-01-01,0,1.1420497327444954
2023-01-01 22:00:00,16607.6,16611.53,16587.57,16602.14,63.024901,1046105.41976282,2023-01-01,0,0.9542551708110056
2023-01-01 23:00:00,16602.14,16623.23,16600.67,16616.03,97.488646,1619362.13728719,2023-01-01,0,1.431996281663841
2023-01-02 00:00:00,16616.03,16626.97,16581.34,16588.73,69.453658,1153181.21778202,2023-01-02,0,0.4930234719962673
2023-01-02 01:00:00,16588.73,16589.5,16545.47,16563.28,166.943799,2765510.48757333,2023-01-02,1,0.0
2023-01-02 02:00:00,16563.28,16593.78,16554.37,16587.37,55.621173,921953.46380854,2023-01-02,0,-0.139404867004061
2023-01-02 03:00:00,16587.37,16703.05,16579.96,16661.5,207.109597,3448364.97893179,2023-01-02,-1,1.0
2023-01-02 04:00:00,16661.5,16674.61,16630.0,16641.67,101.028429,1682003.51854746,2023-01-02,0,0.6952057397451478
2023-01-02 05:00:00,16641.67,16661.93,16618.84,16646.97,89.018122,1481021.23119328,2023-01-02,0,0.7766686534794625
2023-01-02 06:00:00,16646.97,16660.56,16632.98,16641.33,52.355648,871451.52192696,2023-01-02,1,0.0
2023-01-02 07:00:00,16641.33,16764.82,16636.92,16721.64,453.287923,7578417.22176672,2023-01-02,0,0.8060168197766031
2023-01-02 08:00:00,16721.64,16768.23,16708.66,16732.95,228.708208,3828389.40245641,2023-01-02,-1,1.0
2023-01-02 09:00:00,16732.95,16745.9,16708.83,16714.69,118.428112,1980859.58974527,2023-01-02,0,0.6868140697719529
2023-01-02 10:00:00,16714.69,16760.0,16707.0,16726.74,153.865001,2574555.66498536,2023-01-02,0,0.8934893413627775
2023-01-02 11:00:00,16726.74,16740.02,16705.83,16735.42,96.351339,1611212.63446223,2023-01-02,0,1.0423641428073611
2023-01-02 12:00:00,16735.42,16744.47,16720.34,16721.68,84.085449,1407114.46195591,2023-01-02,0,0.8067028787694506
2023-01-02 13:00:00,16721.68,16725.5,16686.0,16693.09,120.363183,2010547.58658957,2023-01-02,1,0.0
2023-01-02 14:00:00,16693.09,16711.31,16670.67,16699.25,134.936933,2252551.0288672,2023-01-02,0,-3.069636319368311
2023-01-02 15:00:00,16699.25,16750.23,16692.23,16735.39,199.436513,3335141.82228599,2023-01-02,-1,1.0
2023-01-02 16:00:00,16735.39,16740.7,16708.37,16710.73,107.17761,1793025.56609669,2023-01-02,0,-1.7769018161489654
2023-01-02 17:00:00,16710.73,16722.0,16706.71,16714.2,97.264937,1625614.29110146,2023-01-02,0,-1.3861536692698007
2023-01-02 18:00:00,16714.2,16732.09,16705.84,16723.16,66.994991,1119883.06327915,2023-01-02,0,-0.37719015456207744
2023-01-02 19:00:00,16723.16,16736.73,16715.56,16736.73,80.638294,1348808.95311381,2023-01-02,0,1.1508940970656945
2023-01-02 20:00:00,16736.73,16737.0,16709.17,16728.23,113.262609,1894145.04602968,2023-01-02,0,0.1937300485147479
2023-01-02 21:00:00,16728.23,16795.0,16718.81,16756.48,150.126896,2514525.73930669,2023-01-02,0,3.374892915757599
2023-01-02 22:00:00,16756.48,16761.65,16690.0,16697.4,184.329604,3082853.20962442,2023-01-02,0,-3.2779602593468833
2023-01-02 23:00:00,16697.4,16722.5,16661.55,16675.59,334.805538,5591029.63116393,2023-01-02,0,-5.733930600393634
2023-01-03 00:00:00,16675.59,16706.38,16651.0,16695.64,162.635437,2713217.37243199,2023-01-03,0,-3.4761495211647198
2023-01-03 01:00:00,16695.64,16695.87,16651.31,16674.76,183.986236,3067169.924198,2023-01-03,0,-5.827394854546453
2023-01-03 02:00:00,16674.76,16688.22,16670.09,16673.59,79.266804,1322112.68083247,2023-01-03,0,-5.9591456706409165
2023-01-03 03:00:00,16673.59,16700.0,16666.86,16692.05,83.155151,1387554.44900993,2023-01-03,0,-3.8804105722586066
2023-01-03 04:00:00,16692.05,16698.22,16680.8,16684.6,80.023105,1335565.35842525,2023-01-03,1,0.0
2023-01-03 05:00:00,16684.6,16726.25,16682.27,16723.96,107.311281,1792522.66816397,2023-01-03,0,0.4688133384903693
2023-01-03 06:00:00,16723.96,16774.22,16721.45,16724.85,249.792543,4181858.3483044,2023-01-03,0,0.5388512834893712
2023-01-03 07:00:00,16724.85,16731.89,16707.95,16730.71,161.577536,2701586.77203296,2023-01-03,-1,1.0
2023-01-03 08:00:00,16730.71,16735.08,16699.37,16713.65,194.726295,3255180.25861215,2023-01-03,0,-0.34252510301526756
2023-01-03 09:00:00,16713.65,16756.3,16713.65,16740.48,123.435485,2065504.4838843,2023-01-03,0,1.7688435085850842
2023-01-03 10:00:00,16740.48,16746.76,16724.17,16725.07,71.433857,1195530.99019199,2023-01-03,0,0.5561640339386658
2023-01-03 11:00:00,16725.07,16734.14,16710.0,16719.07,74.568505,1247082.87817575,2023-01-03,0,0.0839981125967721
2023-01-03 12:00:00,16719.07,16723.41,16705.53,16709.97,102.752582,1717752.44485682,2023-01-03,0,-0.6321202014383189
